Instance,Total Cost,CPU_time,Expanded nodes,Generated nodes
instances_size_50/test_1.txt,None,inf,,
instances_size_50/test_10.txt,939,1.0684,13,25
instances_size_50/test_11.txt,1081,123.85833,1807,3613
instances_size_50/test_12.txt,None,inf,,
instances_size_50/test_13.txt,1197,110.57411,1650,3299
instances_size_50/test_14.txt,784,0.88538,10,19
instances_size_50/test_15.txt,None,inf,,
instances_size_50/test_16.txt,None,inf,,
instances_size_50/test_17.txt,None,inf,,
instances_size_50/test_18.txt,1212,237.25961,3581,7161
instances_size_50/test_19.txt,1018,1.78929,15,29
instances_size_50/test_2.txt,976,3.20855,44,87
instances_size_50/test_20.txt,None,inf,,
instances_size_50/test_21.txt,None,inf,,
instances_size_50/test_22.txt,1191,2.86325,16,31
instances_size_50/test_23.txt,None,inf,,
instances_size_50/test_24.txt,None,inf,,
instances_size_50/test_25.txt,655,32.61809,1032,2063
instances_size_50/test_26.txt,None,inf,,
instances_size_50/test_27.txt,None,inf,,
instances_size_50/test_28.txt,1450,3.06453,21,41
instances_size_50/test_29.txt,1125,1.24736,10,19
instances_size_50/test_3.txt,None,inf,,
instances_size_50/test_30.txt,None,inf,,
instances_size_50/test_31.txt,None,inf,,
instances_size_50/test_32.txt,None,inf,,
instances_size_50/test_33.txt,1233,2.71381,17,33
instances_size_50/test_34.txt,1206,3.19676,28,55
instances_size_50/test_35.txt,None,inf,,
instances_size_50/test_36.txt,852,2.66575,12,23
instances_size_50/test_37.txt,None,inf,,
instances_size_50/test_38.txt,None,inf,,
instances_size_50/test_39.txt,872,1.12478,13,25
instances_size_50/test_4.txt,None,inf,,
instances_size_50/test_40.txt,931,1.138,8,15
instances_size_50/test_41.txt,1611,3.541,24,47
instances_size_50/test_42.txt,1018,100.62106,925,1849
instances_size_50/test_43.txt,986,1.86861,22,43
instances_size_50/test_44.txt,1405,4.36878,34,67
instances_size_50/test_45.txt,887,2.12025,21,41
instances_size_50/test_46.txt,725,0.94969,8,15
instances_size_50/test_47.txt,751,0.66133,3,5
instances_size_50/test_48.txt,783,1.10116,7,13
instances_size_50/test_49.txt,996,1.98269,24,47
instances_size_50/test_5.txt,None,inf,,
instances_size_50/test_50.txt,969,1.45568,12,23
instances_size_50/test_6.txt,None,inf,,
instances_size_50/test_7.txt,1131,1.81161,13,25
instances_size_50/test_8.txt,1091,58.85576,885,1769
instances_size_50/test_9.txt,None,inf,,
